lib / Dossier,moyenne ligne,total lignes,ecart type lignes,moyenne caractère,total caractère,ecart type caractère
clean,10.1911695631752,21697,8.365286308596632,11.344762799436355,24153,8.794158361096537
BS,25.60330578512397,43372,28.420038633321415,6294.8140495867765,10663415,11933.466453683784
JT,20.606911447084233,9541,19.798687582405027,3671.8833693304537,1700082,3741.712411505535
